sigma,t,phi_s
0.5055276381909548,14.120603015075378,-4.423871357511516
0.506532663316583,14.120603015075378,-4.398597688967741
0.507537688442211,14.120603015075378,-4.370621357429525
0.5085427135678392,14.120603015075378,-4.340448238544352
0.5095477386934674,14.120603015075378,-4.308549926439995
0.5105527638190955,14.120603015075378,-4.27535208411258
0.5115577889447236,14.120603015075378,-4.241228776590468
0.5125628140703518,14.120603015075378,-4.206501397513946
0.5135678391959799,14.120603015075378,-4.171440776443643
0.5145728643216081,14.120603015075378,-4.1362712412912215
0.5155778894472361,14.120603015075378,-4.1011756820313465
0.5165829145728643,14.120603015075378,-4.066300936592487
0.5175879396984925,14.120603015075378,-4.031763055489292
0.5185929648241207,14.120603015075378,-3.997652183973646
0.5195979899497487,14.120603015075378,-3.9640369306845615
0.5206030150753769,14.120603015075378,-3.930968178527359
0.521608040201005,14.120603015075378,-3.8984823472150683
0.5226130653266332,14.120603015075378,-3.866604147146355
0.5236180904522614,14.120603015075378,-3.8353488788236083
0.5246231155778894,14.120603015075378,-3.8047243366057693
0.5256281407035176,14.120603015075378,-3.7747323742987597
0.5266331658291458,14.120603015075378,-3.7453701856247066
0.5276381909547738,14.120603015075378,-3.716631346712186
0.528643216080402,14.120603015075378,-3.6885066614664033
0.5296482412060302,14.120603015075378,-3.6609848446097573
0.5306532663316583,14.120603015075378,-3.6340530716382973
0.5316582914572865,14.120603015075378,-3.6076974200477605
0.5326633165829145,14.120603015075378,-3.581903221967879
0.5336683417085427,14.120603015075378,-3.5566553447717943
0.5346733668341709,14.120603015075378,-3.531938413236575
0.5356783919597989,14.120603015075378,-3.507736984348021
0.5366834170854271,14.120603015075378,-3.4840356837953688
0.5376884422110553,14.120603015075378,-3.4608193115205323
0.5386934673366834,14.120603015075378,-3.4380729223112922
0.5396984924623116,14.120603015075378,-3.415781886305644
0.5407035175879397,14.120603015075378,-3.393931933360186
0.5417085427135678,14.120603015075378,-3.372509184491414
0.542713567839196,14.120603015075378,-3.3515001729938216
0.5437185929648242,14.120603015075378,-3.3308918573468405
0.5447236180904522,14.120603015075378,-3.3106716276230364
0.5457286432160804,14.120603015075378,-3.290827306785049
0.5467336683417086,14.120603015075378,-3.2713471479947254
0.5477386934673367,14.120603015075378,-3.2522198288431032
0.5487437185929649,14.120603015075378,-3.2334344432353417
0.549748743718593,14.120603015075378,-3.214980491522569
0.5507537688442211,14.120603015075378,-3.196847869357064
0.5517587939698493,14.120603015075378,-3.179026855653121
0.5527638190954773,14.120603015075378,-3.161508099959378
0.5537688442211055,14.120603015075378,-3.14428260948615
0.5547738693467337,14.120603015075378,-3.127341735980649
0.5557788944723618,14.120603015075378,-3.110677162601756
0.55678391959799,14.120603015075378,-3.094280890912616
0.5577889447236181,14.120603015075378,-3.0781452280821595
0.5587939698492462,14.120603015075378,-3.0622627743646516
0.5597989949748744,14.120603015075378,-3.046626410908653
0.5608040201005025,14.120603015075378,-3.031229287932349
0.5618090452261306,14.120603015075378,-3.016064813290737
0.5628140703517588,14.120603015075378,-3.001126641450929
0.563819095477387,14.120603015075378,-2.9864086628843953
0.5648241206030151,14.120603015075378,-2.9719049938792326
0.5658291457286432,14.120603015075378,-2.957609966770897
0.5668341708542713,14.120603015075378,-2.9435181205862953
0.5678391959798995,14.120603015075378,-2.9296241920934114
0.5688442211055277,14.120603015075378,-2.915923107246533
0.5698492462311557,14.120603015075378,-2.9024099730156734
0.5708542713567839,14.120603015075378,-2.889080069587672
0.5718592964824121,14.120603015075378,-2.875928842925756
0.5728643216080402,14.120603015075378,-2.8629518976738715
0.5738693467336684,14.120603015075378,-2.8501449903919234
0.5748743718592965,14.120603015075378,-2.837504023107987
0.5758793969849246,14.120603015075378,-2.825025037173687
0.5768844221105528,14.120603015075378,-2.81270420740915
